annuaire,url_inscription,url_fiche,priorité,statut,identifiant,email_utilisé,date,commentaire,action_humaine_requise
PagesJaunes / Solocal,https://www.solocal.com/landing/inscription-pagesjaunes,,1,A valider,,,2026-05-24,"Inscription gratuite possible via Solocal Manager. SIRET requis et creation/connexion compte Solocal. Prioritaire car diffuse aussi vers plusieurs partenaires.",Compte Solocal + email entreprise + validation humaine
Cylex France,https://www.cylex-locale.fr/,,1,A valider,,,2026-05-24,"Annuaire local avec inscription entreprise gratuite indiquee. Compte/email requis avant soumission.",Email entreprise + creation de compte
MisterWhat France,https://www.misterwhat.fr/content/faq,,2,A valider,,,2026-05-24,"MisterWhat indique une inscription gratuite mais demande creation de compte et verification email.",Email entreprise + mot de passe + confirmation email
Hoodspot,https://hoodspot.fr/faq/,,2,A verifier,,,2026-05-24,"Hoodspot semble s'appuyer sur les donnees entreprises et propose un formulaire/contact pour modifications. Pas d'inscription directe claire trouvee.",Verifier fiche existante ou formulaire de correction
Mappy,https://faq.mappy.com/knowledgebase/articles/736827-professionnel-comment-appara%C3%A3-tre-sur-mappy,,1,Indirect,,,2026-05-24,"Mappy explique que les pros viennent de partenaires comme PagesJaunes. La fiche PagesJaunes doit d'abord etre creee; diffusion Mappy sous 1 a 2 semaines.",Faire PagesJaunes d'abord
118712 Orange,https://assistance.pagesjaunes.fr/hc/fr/articles/10438561651356-Le-partenariat-PagesJaunes-Orange,,2,Indirect,,,2026-05-24,"118712 affiche les professionnels presents sur PagesJaunes via le partenariat Orange/Solocal. Pas d'inscription directe propre trouvee.",Faire PagesJaunes d'abord
Kompass France,https://fr.kompass.com/register/checkcompany/,,2,A valider,,,2026-05-24,"Inscription gratuite possible mais creation de compte et conditions d'utilisation. Plus B2B que local urgence.",Email entreprise + creation de compte
Europages,https://www.europages.fr/fr/registration,,3,A valider,,,2026-05-24,"Marketplace B2B europeenne avec ajout entreprise. Pertinence moyenne pour serrurier local mais site serieux.",Email entreprise + creation de compte
Le Club des Artisans,https://www.leclubdesartisans.fr/,,2,A valider,,,2026-05-24,"Annuaire artisans francais avec rubrique serrurerie et contact pour apparaitre. Demande probablement un formulaire/contact manuel.",Contacter le site ou formulaire
Annuaire Artisan,https://www.annuaireartisan.fr/,,2,A valider,,,2026-05-24,"Annuaire artisan gratuit sous conditions. Le site demande une description unique et peut exiger un lien retour.",Verifier conditions + validation avant lien retour
ArtisansFrance,https://www.artisansfrance.fr/,,2,A verifier,,,2026-05-24,"Annuaire artisans annonce gratuit; inscription precise a retrouver depuis le site. Site recent/faible volume mais thematique.",Verifier formulaire et conditions
EasyArtisan,https://www.easyartisan.fr/,,2,A valider,,,2026-05-24,"Annuaire artisans gratuit et thematique serrurerie. Probable formulaire avec compte/email.",Email entreprise + creation fiche
iciArtisan,https://ici-artisan.fr/annuaire,,3,A valider,,,2026-05-24,"Plateforme artisans verifies avec controle SIRET/assurances et abonnement artisan possible. A valider avant inscription payante.",Validation paiement/abonnement eventuel
Services France,https://services-france.fr/,,3,A verifier,,,2026-05-24,"Annuaire artisans Ile-de-France. Pertinent localement mais inscription professionnelle a verifier.",Verifier modalites de candidature
1 Serrurier,https://www.1serrurier.fr/,,3,A verifier,,,2026-05-24,"Annuaire specialise serrurerie. A controler avant inscription pour eviter reseau faible qualite ou conditions opaques.",Verifier qualite et conditions
Artisanat de France,https://www.artisanat-de-france.fr/annuaire.html,,3,A verifier,,,2026-05-24,"Annuaire artisans de France. Potentiellement pertinent, mais orientation artisanat/metiers d'art a verifier.",Verifier inscription serrurier depannage
ChantierMap,https://www.chantiermap.com/,,3,A valider,,,2026-05-24,"Plateforme artisans batiment avec inscription. Demande compte et probablement validation profil.",Creation compte + validation
La France Forte,https://www.lafranceforte.fr/,,3,A verifier,,,2026-05-24,"Annuaire artisans de confiance. Inscription artisan non confirmee clairement depuis la page publique.",Verifier contact/conditions
Floops,https://floops.fr/,,3,A verifier,,,2026-05-24,"Marketplace/annuaire artisanal indiquant inscription gratuite pour artisans. Pertinence serrurerie a confirmer.",Verifier inscription et categorie serrurier
Google Business Profile,https://www.google.com/business/,,1,A valider,,,2026-05-24,"Plateforme locale majeure. Creation/revendication fiche necessite compte Google et verification telephone/video/courrier possible.",Validation Google obligatoire
Bing Places,https://www.bingplaces.com/,,2,A valider,,,2026-05-24,"Plateforme locale Microsoft/Bing. Peut importer Google Business Profile. Compte Microsoft requis.",Compte Microsoft + verification
Apple Business Connect,https://businessconnect.apple.com/,,2,A valider,,,2026-05-24,"Fiche Apple Plans. Compte Apple Business Connect et verification entreprise requis.",Compte Apple + verification
Yelp France,https://biz.yelp.fr/,,3,A valider,,,2026-05-24,"Plateforme d'avis locale. Creation/revendication fiche avec compte et verification possible.",Compte + verification
